index,sentiment:hate,sentiment:hatenor,sentiment:neg,sentiment:negnor,sentiment:pos,sentiment:posnor
0,0,0,2,0.083333333,0,0
1,0,0,2,0.133333333,0,0
2,1,0.055555556,5,0.277777778,0,0
3,1,0.111111111,0,0,1,0.111111111
4,1,0.041666667,2,0.083333333,0,0
5,0,0,2,0.086956522,1,0.043478261
6,1,0.052631579,3,0.157894737,0,0
7,1,0.066666667,2,0.133333333,0,0
8,1,0.090909091,1,0.090909091,0,0
9,1,0.2,1,0.2,0,0
10,1,0.0625,1,0.0625,1,0.0625
11,1,0.166666667,1,0.166666667,0,0
12,0,0,2,0.2,0,0
13,1,0.111111111,1,0.111111111,1,0.111111111
14,1,0.2,1,0.2,0,0
15,1,0.166666667,2,0.333333333,0,0
16,1,0.333333333,1,0.333333333,0,0
17,1,0.2,1,0.2,1,0.2
18,1,0.166666667,0,0,0,0
19,1,0.166666667,2,0.333333333,0,0
20,1,0.166666667,2,0.333333333,0,0
21,1,0.2,1,0.2,1,0.2
22,0,0,0,0,0,0
23,1,0.052631579,5,0.263157895,0,0
24,1,0.1,1,0.1,0,0
25,1,0.142857143,0,0,2,0.285714286
26,0,0,0,0,0,0
27,2,0.142857143,0,0,0,0
28,1,0.111111111,2,0.222222222,0,0
29,1,0.090909091,1,0.090909091,0,0
30,3,0.3,2,0.2,0,0
31,1,0.058823529,0,0,1,0.058823529
32,1,0.090909091,1,0.090909091,0,0
33,1,0.1,1,0.1,0,0
34,1,0.05,2,0.1,0,0
35,1,0.25,1,0.25,0,0
36,1,0.125,1,0.125,0,0
37,1,0.1,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,2,0.2
40,1,0.125,0,0,0,0
41,0,0,1,0.125,1,0.125
42,0,0,3,0.15,3,0.15
43,0,0,0,0,0,0
44,1,0.111111111,0,0,1,0.111111111
45,1,0.142857143,0,0,1,0.142857143
46,1,0.111111111,0,0,0,0
47,1,0.076923077,0,0,1,0.076923077
48,1,0.090909091,1,0.090909091,0,0
49,0,0,0,0,1,0.090909091
50,1,0.125,0,0,1,0.125
